"","predictor","test_set","mean_sensitivity","mean_specificity","mean_accuracy"
"1","DISEMBL_COILS","Disprot all",0.69350062733384,0.47168153298786,0.545588136650699
"2","DISEMBL_COILS","Disprot with PDB only",0.689249967444774,0.465070141834164,0.513538169866735
"3","DISEMBL_REM465","Disprot all",0.291105210605379,0.881839231976041,0.687164051089862
"4","DISEMBL_REM465","Disprot with PDB only",0.250769397704981,0.897685941008032,0.744611761342721
"5","DISEMBL_HOTLOOPS","Disprot all",0.437388798334722,0.737054306474186,0.650094397782661
"6","DISEMBL_HOTLOOPS","Disprot with PDB only",0.423006217741991,0.747010986904131,0.675882831743181
"7","DISOPRED","Disprot all",0.584316654630865,0.712206309095953,0.69368330806285
"8","DISOPRED","Disprot with PDB only",0.4754120792114,0.770797346742062,0.698630040807555
"9","iupred_long","Disprot all",0.469940775534842,0.775439584854703,0.706426902437852
"10","iupred_long","Disprot with PDB only",0.344652939782278,0.816363651473529,0.714034249633685
"11","iupred_short","Disprot all",0.442109228851412,0.808519958908881,0.709013591835129
"12","iupred_short","Disprot with PDB only",0.348818562812331,0.835510988348809,0.729393530804513
